City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
405,Edgewater,US,61.18,broken clouds,28.9889,-80.9023,Islander Beach Resort
406,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
407,Simao,CN,49.32,scattered clouds,22.7886,100.9748,Changyu Hotel
408,Carutapera,BR,80.37,overcast clouds,-1.195,-46.02,Lidera
409,Fortuna,US,49.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
411,Garhi Khairo,PK,61.3,clear sky,28.0606,67.9803,Old Hostel Garhi Khairo
413,Harrison,US,46.42,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
414,Maldonado,UY,78.19,broken clouds,-34.6667,-54.9167,La Cimarrona
415,Acajutla,SV,87.8,clear sky,13.5928,-89.8275,Laureles
416,Cuamba,MZ,69.71,light rain,-14.8031,36.5372,Hotel Vision
417,Urucui,BR,87.67,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
419,Gwanda,ZW,71.82,broken clouds,-20.9333,29.0,Mafax Homeways
420,Salas,ES,47.77,scattered clouds,43.4118,-6.2602,Hotel Castillo Valdes Salas
421,Chiredzi,ZW,78.35,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
422,Kapit,MY,73.27,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
423,Camacha,PT,65.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
424,Orocue,CO,94.91,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
425,Banyuwangi,ID,76.24,overcast clouds,-8.2325,114.3576,Dannu's Homestay
426,Radeberg,DE,41.63,clear sky,51.1167,13.9167,Hotel Sportwelt
428,Skibbereen,IE,51.12,light rain,51.55,-9.2667,The West Cork Hotel
429,Acarau,BR,84.11,overcast clouds,-2.8856,-40.12,castelo pizzaria
430,Fuente De Oro,CO,90.82,broken clouds,3.4594,-73.6128,Urbanización Casabrava
431,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
433,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
435,Sladkovicovo,SK,42.26,few clouds,48.2014,17.6385,Hotel Tevel
438,Dubbo,AU,59.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
439,Eydhafushi,MV,81.68,few clouds,5.1033,73.0708,Soneva Fushi
440,La Maddalena,IT,53.65,overcast clouds,41.2142,9.4083,Hotel Il Gabbiano
441,Magaria,NE,71.56,clear sky,12.9983,8.9099,Chez Honorable Chapiou
442,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
443,Gonbad-E Qabus,IR,45.55,overcast clouds,37.25,55.1672,Samin Building
444,Nueva Loja,EC,80.62,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
446,Lagoa Santa,BR,84.42,very heavy rain,-19.6272,-43.8897,Hotel Lund
447,Pisco,PE,71.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
448,Braganca,BR,80.31,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
451,Haapiti,PF,78.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
452,Mercedes,AR,71.19,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
453,Pojuca,BR,85.41,overcast clouds,-12.4231,-38.326,Hotel Pena
455,Devonport,AU,60.01,broken clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
456,Kawardha,IN,58.23,clear sky,22.0167,81.25,STARiHOTELS Raipur Road kawardha
458,Betare Oya,CM,79.41,broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
459,Gonen,TR,38.07,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
460,Kaisiadorys,LT,35.49,overcast clouds,54.8667,24.45,Kristinos svečių namai
461,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
462,Namatanai,PG,79.74,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
464,Atenco,MX,52.59,overcast clouds,19.8858,-97.9258,Cabañas Campestre la Barranca
465,Brae,GB,39.11,overcast clouds,60.3964,-1.353,Busta House Hotel
466,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
467,Trelew,AR,68.2,clear sky,-43.249,-65.3051,Hotel Touring Club
468,Angoche,MZ,79.7,overcast clouds,-16.2325,39.9086,Guest House HESADA
